"Vaccine Code", "Vaccine Description"
HEPATYP, "Inactivated hepatitis a + typhoid polysaccharide vaccine adsorbed"
HIBV, "Haemophilus B conjugate vaccine"
HPV2, "Human papillomavirus bivalent"
HPV4, "Human papillomavirus quadrivalent"
HPV9, "Human papillomavirus 9-valent"
HPVX, "Human papillomavirus (no brand name)"
IPV, "Poliovirus vaccine inactivated"
JEV, "Japanese encephalitis virus vaccine, inactivated"
JEV1, "Japanese encephalitis virus vaccine, inactivated"
JEVX, "Japanese encephalitis virus vaccine (no brand name)"
LYME, "Lyme disease vaccine"
MEA, "Measles"
MEN, "Meningococcal polysaccharide vaccine"
MENB, "Meningococcal group b vaccine, rDNA absorbed"
MENHIB, "Meningococcal conjugate + Hib"
MER, "Measles and rubella virus vaccine, live"
MM, "Measles and mumps virus vaccine, live"
MMR, "Measles, mumps and rubella virus vaccine, live"
MMRV, "Measles, mumps, rubella and varicella vaccine live"
MNC, "Meningococcal conjugate vaccine"
MNQ, "Meningococcal conjugate vaccine"
MNQHIB, "Meningococcal groups c and y + haemophilus B tetanus toxoid conjugate vaccine"
MU, "Mumps virus vaccine, live"
MUR, "Mumps and rubella virus vaccine, live"
OPV, "Poliovirus vaccine trivalent, live, oral"
PER, "Pertussis vaccine"
PLAGUE, "Plague vaccine"
PNC, "Pneumococcal 7-valent conjugate vaccine"
PNC10, "Pneumococcal 10-valent conjugate vaccine"
PNC13, "Pneumococcal 13-valent conjugate vaccine"
PNC15, "Pneumococcal 15-Valent conjugate vaccine"
PNC20, "Pneumococcal 20-Valent conjugate vaccine"
PPV, "Pneumococcal vaccine, polyvalent"
RAB, "Rabies virus vaccine"
RSV, "Respiratory syncytial virus vaccine"
RUB, "Rubella"
RV, "Rotavirus vaccine, live, oral, tetravalent"
RV1, "Rotavirus vaccine, live, oral"
RV5, "Rotavirus vaccine, live, oral, pentavalent"
RVX, "Rotavirus (no brand name)"
SMALL, "Smallpox vaccine"
SMALLMNK, "Smallpox + monkeypox vaccine"
SSEV, "Spring/summer encephalitis vaccine"
TBE, "Tick-borne encephalitis vaccine"
TD, "Tetanus and diphtheria toxoids, adult"
TDAP, "Tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed"
TDAPIPV, "Tetanus, diphtheria and acellular pertussis, and inactivated polio virus"
TTOX, "Tetanus toxoid"
TYP, "Typhoid vaccine"
UNK, "Unknown vaccine type"
VARCEL, "Varivax-varicella virus live"
VARZOS, "Varicella-zoster vaccine"
YF, "Yellow fever vaccine"
